,0
0,2795
1,3205
2,8906
3,21401
4,21622.5
5,6559.5
6,3175.5
7,2070
8,19051.5
9,10045
10,6015
11,26511.5
12,2184
13,15363.5
14,16289.5
15,5403
16,12614.5
17,10677
18,10690
19,13420.5
20,16323
21,1531.5
22,5810.5
23,7026.5
24,11820
25,5338
26,8205.5
27,9972
28,17714.5
29,2756
30,25946.5
31,8515.5
32,16152.5
33,9941
34,18510.5
35,14134
36,11189
37,15688.5
38,20640.5
39,20855.5
40,8873
41,10710
42,11797
43,2271.5
44,7952.5
45,16051.5
46,2661.5
47,9435.5
48,10176
49,2086
50,17495
51,10070
52,10530.5
53,8354
54,11287.5
55,2378.5
56,4104
57,11794.5
58,8208
59,25080.5
60,6929
61,23945.5
62,1519.5
63,13886.5
64,19375.5
65,21896
66,18802
67,11148
68,18369
69,18151.5
70,16442
71,12675.5
72,17356
73,20889.5
74,10175.5
75,37853.5
76,9540.5
77,20502
78,12840
79,7586.5
80,2621
81,14157.5
82,23323
83,10341.5
84,16349
85,18898.5
86,32478.5
87,5306
88,16324.5
89,13562.5
90,21020.5
91,20332.5
92,15356
93,18843.5
94,8996
95,17213.5
96,18160.5
97,29675
98,9832
99,28938.5
