,0
0,36082.0
1,22205.5
2,4277.0
3,38437.0
4,7752.0
5,25190.5
6,20025.0
7,21869.0
8,27461.5
9,10916.0
10,9283.5
11,2.5
12,37100.0
13,17977.5
14,31523.5
15,30124.5
16,4828.0
17,28383.5
18,4154.0
19,1290.5
20,24193.5
21,11180.5
22,3.5
23,28144.0
24,749.5
25,21137.0
26,25399.0
27,7970.5
28,10.0
29,40476.5
30,27387.5
31,37467.5
32,2365.0
33,9248.5
34,2660.0
35,29096.0
36,14459.0
37,5083.5
38,3.0
39,10672.5
40,11588.5
41,3.5
42,2.0
43,7803.0
44,36951.5
45,10.0
46,23276.5
47,1221.5
48,33055.5
49,21608.5
50,8490.0
51,24839.5
52,5807.5
53,3.5
54,20331.5
55,8391.5
56,27818.0
57,19255.5
58,2621.0
59,11553.5
60,21534.0
61,29532.5
62,8923.0
63,11314.0
64,22898.0
65,11906.0
66,1.5
67,49052.5
68,0.5
69,14188.5
70,23337.5
71,13573.5
72,33079.0
73,12755.0
74,15562.0
75,9864.5
76,10.0
77,567.5
78,-25.5
79,33069.0
80,3629.0
81,35227.0
82,20954.5
83,196.5
84,6.5
85,38143.0
86,27697.5
87,19253.5
88,15236.0
89,6806.0
90,8.5
91,11621.5
92,2037.0
93,2582.0
94,40891.0
95,10844.5
96,11141.5
97,33487.0
98,5767.0
99,34220.5
